GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Sistema Bancario,edu.uclm.esi.iso2.banco20193capas.model,Manager,0,25,0,0,0,13,0,7,0,7
Sistema Bancario,edu.uclm.esi.iso2.banco20193capas.model,Compra,8,15,0,0,4,6,2,3,2,3
Sistema Bancario,edu.uclm.esi.iso2.banco20193capas.model,TarjetaCredito,3,260,1,23,1,62,2,20,1,9
Sistema Bancario,edu.uclm.esi.iso2.banco20193capas.model,Tarjeta,14,128,0,10,6,30,4,14,4,9
Sistema Bancario,edu.uclm.esi.iso2.banco20193capas.model,Cuenta,15,339,0,32,7,88,4,33,4,17
Sistema Bancario,edu.uclm.esi.iso2.banco20193capas.model,TarjetaDebito,0,100,0,4,0,26,0,8,0,6
Sistema Bancario,edu.uclm.esi.iso2.banco20193capas.model,MovimientoTarjetaCredito,22,28,0,0,10,12,6,6,6,6
Sistema Bancario,edu.uclm.esi.iso2.banco20193capas.model,MovimientoCuenta,22,21,0,0,10,9,6,4,6,4
Sistema Bancario,edu.uclm.esi.iso2.banco20193capas.model,Cliente,22,26,0,0,10,11,6,5,6,5
Sistema Bancario,edu.uclm.esi.iso2.banco20193capas,Lanzadora,30,3,0,0,11,1,1,1,1,1
Sistema Bancario,edu.uclm.esi.iso2.banco20193capas.exceptions,CuentaYaCreadaException,0,4,0,0,0,2,0,1,0,1
Sistema Bancario,edu.uclm.esi.iso2.banco20193capas.exceptions,TokenInvalidoException,0,3,0,0,0,1,0,1,0,1
Sistema Bancario,edu.uclm.esi.iso2.banco20193capas.exceptions,PinInvalidoException,0,4,0,0,0,2,0,1,0,1
Sistema Bancario,edu.uclm.esi.iso2.banco20193capas.exceptions,ClienteNoAutorizadoException,0,15,0,0,0,2,0,1,0,1
Sistema Bancario,edu.uclm.esi.iso2.banco20193capas.exceptions,CuentaSinTitularesException,0,4,0,0,0,2,0,1,0,1
Sistema Bancario,edu.uclm.esi.iso2.banco20193capas.exceptions,LoginException,4,0,0,0,2,0,1,0,1,0
Sistema Bancario,edu.uclm.esi.iso2.banco20193capas.exceptions,ClienteNoEncontradoException,0,11,0,0,0,2,0,1,0,1
Sistema Bancario,edu.uclm.esi.iso2.banco20193capas.exceptions,CuentaInvalidaException,0,13,0,0,0,2,0,1,0,1
Sistema Bancario,edu.uclm.esi.iso2.banco20193capas.exceptions,ImporteInvalidoException,0,13,0,0,0,2,0,1,0,1
Sistema Bancario,edu.uclm.esi.iso2.banco20193capas.exceptions,SaldoInsuficienteException,0,4,0,0,0,2,0,1,0,1
Sistema Bancario,edu.uclm.esi.iso2.banco20193capas.exceptions,TarjetaBloqueadaException,0,4,0,0,0,2,0,1,0,1
